"대분류명","중분류명","소분류명","식재료코드","식재료명","브랜드명","생산연도","규격"
"축산물","한우","한우(목심)","1123161","한우(목심)","","2024","한우/냉장/2등급/목심/불고기/0.2*3*4 (cm)/1kg"
"축산물","한우","한우(목심)","1123162","한우(목심)","","2024","한우/냉장/2등급/목심/불고기/0.2*3*4 (cm)/0.5kg"
"축산물","한우","한우(목심)","1123163","한우(목심)","","2024","한우/냉장/2등급/목심/불고기/0.2*3*4 (cm)/0.3kg"
"축산물","한우","한우(목심)","1123164","한우(목심)","","2024","한우/냉장/2등급/목심/샤브용/0.2*4*5 (cm)/1kg"
"축산물","한우","한우(목심)","1123165","한우(목심)","","2024","한우/냉장/2등급/목심/샤브용/0.2*4*5 (cm)/0.5kg"
"축산물","한우","한우(목심)","1123166","한우(목심)","","2024","한우/냉장/2등급/목심/샤브용/0.2*4*5 (cm)/0.3kg"
"축산물","한우","한우(목심)","1123167","한우(목심)","","2023","한우/냉장/2등급/목심/다짐육/1kg"
"축산물","한우","한우(목심)","1123168","한우(목심)","","2023","한우/냉장/2등급/목심/다짐육/0.5kg"
"축산물","한우","한우(목심)","1123169","한우(목심)","","2023","한우/냉장/2등급/목심/다짐육/0.3kg"
"축산물","한우","한우(사태)","1123170","한우(사태)","","2024","한우/냉장/2등급/사태/수육용/200g~300g 덩어리/1kg"
"축산물","한우","한우(사태)","1123171","한우(사태)","","2024","한우/냉장/2등급/사태/수육용/200g~300g 덩어리/0.5kg"
"축산물","한우","한우(사태)","1123172","한우(사태)","","2024","한우/냉장/2등급/사태/수육용/200g~300g 덩어리/0.3kg"
"축산물","한우","한우(사태)","1123173","한우(사태)","","2024","한우/냉장/2등급/사태/장조림/2*2*2(cm)/1kg"
"축산물","한우","한우(사태)","1123174","한우(사태)","","2024","한우/냉장/2등급/사태/장조림/2*2*2(cm)/0.5kg"
"축산물","한우","한우(사태)","1123175","한우(사태)","","2024","한우/냉장/2등급/사태/장조림/2*2*2(cm)/0.3kg"
"축산물","한우","한우(설도)","1123176","한우(설도)","","2024","한우/냉장/2등급/설도/불고기/0.2*3*4(cm)/1kg"
"축산물","한우","한우(설도)","1123177","한우(설도)","","2024","한우/냉장/2등급/설도/불고기/0.2*3*4(cm)/0.5kg"
"축산물","한우","한우(설도)","1123178","한우(설도)","","2024","한우/냉장/2등급/설도/불고기/0.2*3*4(cm)/0.3kg"
"축산물","한우","한우(설도)","1123179","한우(설도)","","2024","한우/냉장/2등급/설도/짜장,카레용/1*1*1 (cm)/1kg"
"축산물","한우","한우(설도)","1123180","한우(설도)","","2024","한우/냉장/2등급/설도/짜장,카레용/1*1*1 (cm)/0.5kg"
"축산물","한우","한우(설도)","1123181","한우(설도)","","2024","한우/냉장/2등급/설도/짜장,카레용/1*1*1 (cm)/0.3kg"
"축산물","한우","한우(설도)","1123182","한우(설도)","","2024","한우/냉장/2등급/설도/채썰기/0.4*0.4*5(cm)/1kg"
"축산물","한우","한우(설도)","1123183","한우(설도)","","2024","한우/냉장/2등급/설도/채썰기/0.4*0.4*5(cm)/0.5kg"
"축산물","한우","한우(설도)","1123184","한우(설도)","","2024","한우/냉장/2등급/설도/채썰기/0.4*0.4*5(cm)/0.3kg"
"축산물","한우","한우(설도)","1123185","한우(설도)","","2024","한우/냉장/2등급/설도/장조림/2*2*2(cm)/1kg"
"축산물","한우","한우(설도)","1123186","한우(설도)","","2024","한우/냉장/2등급/설도/장조림/2*2*2(cm)/0.5kg"
"축산물","한우","한우(설도)","1123187","한우(설도)","","2024","한우/냉장/2등급/설도/장조림/2*2*2(cm)/0.3kg"
"축산물","한우","한우(양지)","1123188","한우(양지)","","2024","한우/냉장/2등급/양지/국거리/200g-300g 덩어리/0.5kg"
"축산물","한우","한우(양지)","1123189","한우(양지)","","2024","한우/냉장/2등급/양지/국거리/200g-300g 덩어리/0.3kg"
"축산물","한우","한우(우둔)","1123190","한우(우둔)","","2024","한우/냉장/2등급/우둔/짜장,카레용/1*1*1(cm)/0.5kg"
"축산물","한우","한우(우둔)","1123191","한우(우둔)","","2024","한우/냉장/2등급/우둔/짜장,카레용/1*1*1(cm)/0.3kg"
"축산물","한우","한우(우둔)","1123192","한우(우둔)","","2024","한우/냉장/2등급/우둔/잡채용/0.3*0.3*5 (cm)/1kg"
"축산물","한우","한우(우둔)","1123193","한우(우둔)","","2024","한우/냉장/2등급/우둔/잡채용/0.3*0.3*5 (cm)/0.5kg"
"축산물","한우","한우(우둔)","1123194","한우(우둔)","","2024","한우/냉장/2등급/우둔/잡채용/0.3*0.3*5 (cm)/0.3kg"
"축산물","한우","한우(우둔)","1123195","한우(우둔)","","2024","한우/냉장/2등급/우둔/다짐육/0.5cm 다짐육/1kg"
"축산물","한우","한우(우둔)","1123196","한우(우둔)","","2024","한우/냉장/2등급/우둔/다짐육/0.5cm 다짐육/0.5kg"
"축산물","한우","한우(우둔)","1123197","한우(우둔)","","2024","한우/냉장/2등급/우둔/다짐육/0.5cm 다짐육/0.3kg"
"축산물","한우","한우(전각)","1123198","한우(전각)","","2024","한우/냉장/2등급/앞다리(전각)/불고기/0.3*3*4(cm)/0.5kg"
"축산물","한우","한우(전각)","1123199","한우(전각)","","2024","한우/냉장/2등급/앞다리(전각)/불고기/0.3*3*4(cm)/0.3kg"
"축산물","한우","한우(전각)","1123200","한우(전각)","","2024","한우/냉장/무항생제/앞다리(전각)/불고기/0.3*3*4(cm)/1kg"
"축산물","한우","한우(전각)","1123201","한우(전각)","","2024","한우/냉장/무항생제/앞다리(전각)/불고기/0.3*3*4(cm)/0.5kg"
"축산물","한우","한우(전각)","1123202","한우(전각)","","2024","한우/냉장/무항생제/앞다리(전각)/불고기/0.3*3*4(cm)/0.3kg"
"축산물","한우","한우(갈비)","1123203","한우(갈비)","","2024","한우/냉동/무항생제/갈비/찜용/2.5*3 (cm)/1kg"
"축산물","한우","한우(갈비)","1123204","한우(갈비)","","2024","한우/냉동/무항생제/갈비/찜용/2.5*3 (cm)/5kg"
"축산물","한우","한우(갈비)","1123205","한우(갈비)","","2024","한우/냉동/무항생제/갈비/찜용/2.5*3 (cm)/3kg"
"축산물","돈육","돈육(갈비)","1123206","돈육(갈비)","","2024","돈육/냉동/무항생제/갈비/찜,구이용/2.5*3(cm)/1kg"
"축산물","돈육","돈육(갈비)","1123207","돈육(갈비)","수덕푸드","2024","돈육/냉동/무항생제/갈비/찜,구이용/2.5*3(cm)/3kg"
"축산물","돈육","돈육(갈비)","1123208","돈육(갈비)","수덕푸드","2024","돈육/냉동/무항생제/갈비/찜,구이용/2.5*3(cm)/5kg"
"축산물","한우","한우(잡뼈)","1123209","한우(잡뼈)","","2024","한우/냉동/2등급/잡뼈/탕,국용/3cm 절단/5kg"
"축산물","한우","한우(잡뼈)","1123210","한우(잡뼈)","","2024","한우/냉동/2등급/잡뼈/탕,국용/3cm 절단/3kg"
"축산물","한우","한우(사골)","1123211","한우(사골)","","2024","한우/냉동/2등급/사골/탕,국용/3cm 절단/5kg"
"축산물","한우","한우(사골)","1123212","한우(사골)","","2024","한우/냉동/2등급/사골/탕,국용/3cm 절단/3kg"
"축산물","한우","한우(꼬리)","1123213","한우(꼬리)","","2023","한우/냉동/꼬리/탕용/0.5kg"
