"대분류명","중분류명","소분류명","상위식재료코드","상위식재료명","설명"
"농산물","엽경채류","깻잎","1397428","깻잎","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/깻잎은 칼륨과 칼슘등의 무기질이 풍부"
"농산물","엽경채류","부추","1397429","부추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/부추"
"농산물","엽경채류","붉은양배추","1397430","붉은양배추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/붉은양배추"
"농산물","엽경채류","상추","1397431","적상추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/쌈채소로 빠질 수 없는 신선한 알칼리성 식품"
"농산물","과일류","오렌지(수입)","3398037","생오렌지","오렌지/대/수입산/240722_대체사입"
"농산물","엽경채류","상추","1397432","적상추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/쌈채소로 빠질 수 없는 신선한 알칼리성 유기농 채소"
"농산물","엽경채류","상추","1397433","청상추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/쌈채소로 빠질 수 없는 신선한 알칼리성 식품"
"농산물","엽경채류","상추","1397434","청상추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/쌈채소로 빠질 수 없는 신선한 알칼리성 유기농 채소"
"농산물","엽경채류","새싹","1397435","베이비채소","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/씻으실 때 잎이 여리기 때문에 살살 흔들어서 씻어주세요"
"농산물","엽경채류","세발나물","1397436","세발나물","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/세발나물"
"농산물","엽경채류","시금치","1397437","시금치","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/시금치"
"농산물","엽경채류","쌈배추","1397438","쌈배추(알배기)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/친환경농산물,잎이 부드럽고 고소해 쌈으로 이용하시기에 좋습니다."
"농산물","엽경채류","쌈배추","1397439","쌈배추(알배기)","가격은 0.8kg당이며, 발주는 0.8kg단위로 가능함"
"농산물","엽경채류","쑥갓","1397440","쑥갓","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/쑥갓"
"농산물","엽경채류","아욱","1397441","아욱(손질)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/식유섬유가 풍부하여 변비 해소에 효과적입니다."
"농산물","엽경채류","아욱","1397442","아욱(손질)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/식이섬유가 풍부한 건강 채소"
"농산물","엽경채류","아욱","1397443","아욱(손질)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/식이섬유가 풍부한 건강 채소"
"농산물","엽경채류","양배추","1397444","깐양배추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/양배추"
"농산물","엽경채류","양배추","1397445","깐양배추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/깐양배추"
"농산물","엽경채류","양배추","1397446","양배추(피)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/양배추(피)"
"농산물","엽경채류","얼갈이","1397447","얼갈이(생것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/얼갈이"
"농산물","엽경채류","얼갈이","1397448","얼갈이(생것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/부드럽고 아삭한 국, 무침용 잎 채소"
"농산물","엽경채류","청경채","1397449","청경채","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/아삭하고 부드러운 식감의 식이섬유가 풍푸한 채소"
"농산물","엽경채류","청경채","1397450","청경채","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/아삭하고 부드러운 식감의 식이섬유가 풍푸한 채소"
"농산물","음료류","사과즙(유기농)","1397451","유기농사과즙(100ml)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/생과 공급농가 중 유기농에 한하여 가공공급"
"농산물","조미채소류","건고추","1397452","건홍고추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/꼭지 미제거 건홍고추가 공급됨"
"농산물","조미채소류","건고추","1397453","건홍고추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/유기농 명인의 최고 품질 건홍고추"
"농산물","조미채소류","고추","1397455","꽈리고추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/열량이 낮고, 매운맛에는 캡사이신이 들어 있음"
"농산물","조미채소류","고추","1397456","꽈리고추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/열량이 낮고, 매운맛에는 캡사이신이 들어 있음"
"농산물","조미채소류","고추","1397457","오이고추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/크고 과피가 두꺼우며 껍질이 연함"
"농산물","조미채소류","고추","1397458","오이고추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/크고 과피가 두꺼우며 껍질이 연함"
"농산물","조미채소류","고추","1397459","풋고추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/베타카로니이 함유"
"농산물","조미채소류","고추","1397460","풋고추","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/베타카로니이 함유"
"농산물","조미채소류","대파","1397461","간편대파(깐것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/간편대파(깐것)"
"농산물","조미채소류","대파","1397462","대파(깐것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/대파(깐것)"
"농산물","조미채소류","대파","1397463","대파(깐것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/대파(깐것)"
"농산물","조미채소류","대파","1397464","대파(깐것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/대파(깐것)"
"농산물","조미채소류","대파","1397465","대파(흙)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/대파(흙)"
"농산물","조미채소류","대파","1397466","대파(흙)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/대파(흙)"
"농산물","조미채소류","대파","1397467","대파(흙)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/대파(흙)"
"농산물","조미채소류","마늘","1397468","마늘(깐것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/마늘(깐것)"
"농산물","조미채소류","마늘","1397469","마늘(깐것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/꼭지제거되지 않은 탈피된 마늘의 공급"
"농산물","조미채소류","마늘","1397470","마늘(깐것/꼭지제거)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/탈피 및 꼭지제거된 마늘의 공급"
"농산물","조미채소류","마늘","1397471","마늘(깐것/꼭지제거)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/탈피 및 꼭지제거된 마늘의 공급"
"농산물","조미채소류","마늘","1397472","마늘(중, 17mm 이하(14mm이상), 꼭지미제거)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/꼭지 미제거로 공급됨"
"농산물","조미채소류","생강","1397473","생강(손깐것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/향신료로 소화를 돕고, 생선과 같이 겯들여 먹으면 좋습니다."
"농산물","조미채소류","생강","1397474","생강(흙)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/향신료로 소화를 돕고, 생선과 같이 겯들여 먹으면 좋습니다."
"농산물","조미채소류","실파","1397475","쪽파(깐것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/쪽파(깐것)"
"농산물","조미채소류","실파","1397476","쪽파(깐것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/쪽파(깐것)"
"농산물","조미채소류","양파","1397480","양파(깐것)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/양파의 탈피 및 뿌리, 꼭지 양 끝단 제거 후 공급"
"농산물","조미채소류","양파","1397484","양파(깐것)100g이하","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/70~100g사이의 깐양파 공급"
"농산물","조미채소류","양파","1397490","양파(피)","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/피상태의 양파 그대로 공급"
"농산물","서류","고구마","3397435","고구마_대체_20240408","고구마_대체_20240408"
"농산물","과일과채류","방울토마토","3397495","방울토마토","가격은 1kg당이며, 발주는 0.75kg단위로 가능함/신선한 샐러드에 사용할 수 있는 작은 방울토마토"
"농산물","과일과채류","메론","3397496","메론","가격은 1kg당이며, 발주는 1.6kg단위로 가능함/메론/머스크 (4수/8kg)"
"농산물","과채류","오이","3397497","백오이","가격은 1kg당이며, 발주는 0.3kg단위로 가능함/백침(오이 표면 가시 색상)계열의 백오이 생산 공급"
"농산물","조미채소류","실파","3397515","실파","가격은 1kg당이며, 발주는 0.3kg단위로 가능함"
"농산물","양채류","양상추","3397516","깐양상추","깐양상추/0.3kg/"
"농산물","양채류","브로콜리","3397535","브로콜리","가격은 1kg당이며, 발주는 0.35kg단위로 가능함"
"농산물","과채류","애호박","3397595","자연애호박(벌크)","가격은 1kg당이며, 발주는 0.25kg단위로 가능함 / 가능"
"농산물","양곡부류","찹쌀","3397615","찹쌀","찹쌀/국내산/1kg-대체사입"
"농산물","서류","고구마","3397616","고구마/찜용","고구마/일반/국내산-품질저하대체"
"농산물","버섯류","표고버섯","3397655","표고버섯(유기농)","가격은 0.3kg당이며, 발주는 0.3kg단위로 가능함/진한 향과 탱글탱글한 식감이 우수한 대표 유기농 버섯"
"농산물","양채류","브로콜리","3397656","브로콜리","가격은 1kg당이며, 발주는 0.25kg단위로 가능함"
"농산물","조미채소류","고추","3397657","꽈리고추","가격은 1kg당이며, 발주는 0.15kg단위로 가능함/열량이 낮고, 매운맛에는 캡사이신이 들어 있음"
"농산물","조미채소류","대파","3397658","대파(깐것)","가격은 1kg당이며, 발주는 0.5kg단위로 가능함/대파(깐것)"
"농산물","조미채소류","대파","3397659","대파(흙)","가격은 1kg당이며, 발주는 0.5kg단위로 가능함/대파(흙)"
"농산물","과일과채류","메론","3397660","메론","가격은 1kg당이며, 발주는 2kg단위로 가능함/메론/머스크 (4수/8kg)"
"농산물","과일류","자두","3397661","자두","가격은 1kg당이며, 발주는 0.1kg단위로 가능함/1과당 60~70g"
"농산물","과일류","감귤","3397662","감귤","가격은 1kg당이며, 발주는 1kg단위로 가능함/하우스 감귤"
"가공식품","농산물가공식품","콩나물가공품","3397663","콩나물/무농약","콩나물/무농약/국산콩/0.5kg-240523대체사입"
"농산물","엽경채류","양배추","3397664","깐양배추","깐양배추/1kg-240523대체사입"
"가공식품","농산물가공식품","콩나물가공품","3397665","콩나물","콩나물/무농약/국산콩/0.5kg/240523_대체사입"
"농산물","버섯류","새송이버섯","3397675","볶음새송이","가격은 0.3kg당이며, 발주는 0.3kg단위로 가능함/소량발주의 경우 방담비닐(버섯 전용 비닐)에 포장 공급"
"농산물","기타채소","겨자","3397676","겨자","청겨자(잎)/0.3kg발주가능"
"농산물","기타채소","겨자","3397677","적겨자(잎)","적겨자(잎)/0.3kg발주가능"
"농산물","양채류","파프리카","3397695","파프리카(주황)","가격은 0.3kg당이며, 발주는 0.3kg단위로 가능함/비타민C가 다량 함유"
"농산물","양채류","파프리카","3397715","파프리카(노랑)","가격은 0.3kg당이며, 발주는 0.3kg단위로 가능함/비타민C가 다량 함유"
"농산물","근채류","무","3397735","깐무","가격은 1kg당이며, 발주는 1kg단위로 가능함/깐무"
"농산물","근채류","무","3397736","무(흙)","가격은 1.5kg당이며, 발주는 1.5kg단위로 가능함/깐무"
"농산물","근채류","무","3397737","세척무","가격은 1.5kg당이며, 발주는 1.5kg단위로 가능함/깐무"
"농산물","엽경채류","양배추","3397738","깐양배추","가격은 1kg당이며, 발주는 1kg단위로 가능함/양배추"
"농산물","엽경채류","양배추","3397739","깐양배추(1/2절단)","가격은 0.5kg당이며, 발주는 0.5kg단위로 가능함/양배추"
"농산물","엽경채류","양배추","3397740","양배추(피)","가격은 1kg당이며, 발주는 1kg단위로 가능함/양배추(피)"
