index,ingredient_a,ingredient_b,substitution_direction,similarity_score,substitution_reason,feature_similarity,category_similarity,category_match_level,calculation_details
31,전갱이,줄전갱이,전갱이→줄전갱이,1.0,향 유사,1.0,1.0,세세분류,"Feature유사도: 1.00 | 분류유사도: 1.00 (세세분류) | 최종점수: 1.00 | 공통특성: 감칠맛, 고소함, 단백함, 등푸른생선, 비린맛, 수산물, 해산물향 | 분류일치: 세세분류: 생선류"
32,줄전갱이,전갱이,줄전갱이→전갱이,1.0,향 유사,1.0,1.0,세세분류,"Feature유사도: 1.00 | 분류유사도: 1.00 (세세분류) | 최종점수: 1.00 | 공통특성: 감칠맛, 고소함, 단백함, 등푸른생선, 비린맛, 수산물, 해산물향 | 분류일치: 세세분류: 생선류"
33,목살,가브리살,목살→가브리살,1.0,유사한 특성,1.0,1.0,세세분류,"Feature유사도: 1.00 | 분류유사도: 1.00 (세세분류) | 최종점수: 1.00 | 공통특성: 고소함, 구이용, 단백질, 쫄깃함, 한식 | 분류일치: 세세분류: 돼지고기류"
34,가브리살,목살,가브리살→목살,1.0,유사한 특성,1.0,1.0,세세분류,"Feature유사도: 1.00 | 분류유사도: 1.00 (세세분류) | 최종점수: 1.00 | 공통특성: 고소함, 구이용, 단백질, 쫄깃함, 한식 | 분류일치: 세세분류: 돼지고기류"
35,알새우칩,새우칩,알새우칩→새우칩,1.0,향 유사,1.0,1.0,세세분류,"Feature유사도: 1.00 | 분류유사도: 1.00 (세세분류) | 최종점수: 1.00 | 공통특성: 가벼움, 바삭함, 새우유래, 스낵류, 식감추가, 짠맛, 해산물향 | 분류일치: 세세분류: 스낵류"
36,새우칩,알새우칩,새우칩→알새우칩,1.0,향 유사,1.0,1.0,세세분류,"Feature유사도: 1.00 | 분류유사도: 1.00 (세세분류) | 최종점수: 1.00 | 공통특성: 가벼움, 바삭함, 새우유래, 스낵류, 식감추가, 짠맛, 해산물향 | 분류일치: 세세분류: 스낵류"
37,돌자반,김자반,돌자반→김자반,0.97,향 유사,0.93,1.0,세세분류,"Feature유사도: 0.93 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.97 | 공통특성: 감칠맛, 김류, 바다향, 바삭함, 식감추가, 짠맛, 토핑용 | 분류일치: 세세분류: 김류"
38,김자반,돌자반,김자반→돌자반,0.97,향 유사,0.93,1.0,세세분류,"Feature유사도: 0.93 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.97 | 공통특성: 감칠맛, 김류, 바다향, 바삭함, 식감추가, 짠맛, 토핑용 | 분류일치: 세세분류: 김류"
39,열기,등가시치,열기→등가시치,0.97,향 유사,0.92,1.0,세세분류,"Feature유사도: 0.92 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.97 | 공통특성: 가열용, 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향 | 분류일치: 세세분류: 생선류"
40,등가시치,열기,등가시치→열기,0.97,향 유사,0.92,1.0,세세분류,"Feature유사도: 0.92 | 분류유사도: 1.00 (세세분류) | 최종점수: 0.97 | 공통특성: 가열용, 감칠맛, 단백함, 비린맛, 생선류, 수산물, 해산물향 | 분류일치: 세세분류: 생선류"
