ingredient_keyword,coupang_url,priority,active,recipe_count,rank
햄,https://link.coupang.com/a/gSLrzGH5gq,C,Y,398,141
파슬리,https://link.coupang.com/a/gSMJNUHOxw,C,Y,391,142
미나리,https://link.coupang.com/a/gSMJDfzli8,C,Y,384,143
크림치즈,https://link.coupang.com/a/gSMKSlVWRE,B,Y,378,144
스리라차,https://link.coupang.com/a/gSMLeoI776,D,Y,376,145
대패삼겹,https://link.coupang.com/a/gSMK2ICuDQ,D,Y,375,146
베이킹파우더,https://link.coupang.com/a/gSMOnjIu04,D,Y,375,147
브로콜리,https://link.coupang.com/a/gSLu0EpdJs,C,Y,373,148
박력분,https://link.coupang.com/a/gSMOS5HhGC,D,Y,368,149
깻가루,https://link.coupang.com/a/gSMM8Pvjd6,D,Y,362,150
라이스페이퍼,https://link.coupang.com/a/gSMNUmokA8,D,Y,362,151
바닐라익스트랙,https://link.coupang.com/a/gSMSUn0srQ,D,Y,360,152
찹쌀,https://link.coupang.com/a/gSMMtuSGVE,B,Y,345,153
옥수수,https://link.coupang.com/a/gSMKCP4xnU,C,Y,337,154
멸치다시마육수,https://link.coupang.com/a/gSMQSkYjhA,D,Y,335,155
아보카도,https://link.coupang.com/a/gSMOJbXUvk,C,Y,328,156
다시다,https://link.coupang.com/a/gSMOyQ4l5M,D,Y,326,157
레드페퍼,,D,Y,321,158
떡국떡,https://link.coupang.com/a/gSMQmZbQvA,D,Y,301,159
배추,https://link.coupang.com/a/gSLsOd2Rt6,A,Y,298,160
시나몬,https://link.coupang.com/a/gSMUvfQNFc,D,Y,298,161
캔참치,https://link.coupang.com/a/gSLlBR817Y,C,Y,297,162
냉면육수,https://link.coupang.com/a/gSMPUowTcG,D,Y,296,163
베이킹소다,https://link.coupang.com/a/gSMP3FCh3I,D,Y,295,164
메밀면,https://link.coupang.com/a/gSMREozFEO,D,Y,294,165
굴,https://link.coupang.com/a/gSMPyngRVs,D,Y,293,166
메추리알,https://link.coupang.com/a/gSMPiPwehE,D,Y,288,167
바나나,https://link.coupang.com/a/gSMPHK55wW,D,Y,285,168
스테비아,https://link.coupang.com/a/gSMSLBT7oi,D,Y,285,169
조미김,https://link.coupang.com/a/gSMQ3fNbIi,D,Y,281,170
